id,id_ess,scenario,date,value
1,59,2,2040-02-09T00:00:00.0,17.10363424705849
2,59,2,2040-02-09T01:00:00.0,17.10363424705849
3,59,2,2040-02-09T02:00:00.0,17.10363424705849
4,59,2,2040-02-09T03:00:00.0,17.10363424705849
5,59,2,2040-02-09T04:00:00.0,17.10363424705849
6,59,2,2040-02-09T05:00:00.0,17.10363424705849
7,59,2,2040-02-09T06:00:00.0,17.10363424705849
8,59,2,2040-02-09T07:00:00.0,17.10363424705849
9,59,2,2040-02-09T08:00:00.0,17.10363424705849
10,59,2,2040-02-09T09:00:00.0,17.10363424705849
11,59,2,2040-02-09T10:00:00.0,17.10363424705849
12,59,2,2040-02-09T11:00:00.0,17.10363424705849
13,59,2,2040-02-09T12:00:00.0,17.10363424705849
14,59,2,2040-02-09T13:00:00.0,17.10363424705849
15,59,2,2040-02-09T14:00:00.0,17.10363424705849
16,59,2,2040-02-09T15:00:00.0,17.10363424705849
17,59,2,2040-02-09T16:00:00.0,17.10363424705849
18,59,2,2040-02-09T17:00:00.0,17.10363424705849
19,59,2,2040-02-09T18:00:00.0,17.10363424705849
20,59,2,2040-02-09T19:00:00.0,17.10363424705849
21,59,2,2040-02-09T20:00:00.0,17.10363424705849
22,59,2,2040-02-09T21:00:00.0,17.10363424705849
23,59,2,2040-02-09T22:00:00.0,17.10363424705849
24,59,2,2040-02-09T23:00:00.0,17.10363424705849
25,59,2,2040-02-10T00:00:00.0,17.10363424705849
26,59,2,2040-02-10T01:00:00.0,17.10363424705849
27,59,2,2040-02-10T02:00:00.0,17.10363424705849
28,59,2,2040-02-10T03:00:00.0,17.10363424705849
29,59,2,2040-02-10T04:00:00.0,17.10363424705849
30,59,2,2040-02-10T05:00:00.0,17.10363424705849
31,59,2,2040-02-10T06:00:00.0,17.10363424705849
32,59,2,2040-02-10T07:00:00.0,17.10363424705849
33,59,2,2040-02-10T08:00:00.0,17.10363424705849
34,59,2,2040-02-10T09:00:00.0,17.10363424705849
35,59,2,2040-02-10T10:00:00.0,17.10363424705849
36,59,2,2040-02-10T11:00:00.0,17.10363424705849
37,59,2,2040-02-10T12:00:00.0,17.10363424705849
38,59,2,2040-02-10T13:00:00.0,17.10363424705849
39,59,2,2040-02-10T14:00:00.0,17.10363424705849
40,59,2,2040-02-10T15:00:00.0,17.10363424705849
41,59,2,2040-02-10T16:00:00.0,17.10363424705849
42,59,2,2040-02-10T17:00:00.0,17.10363424705849
43,59,2,2040-02-10T18:00:00.0,17.10363424705849
44,59,2,2040-02-10T19:00:00.0,17.10363424705849
45,59,2,2040-02-10T20:00:00.0,17.10363424705849
46,59,2,2040-02-10T21:00:00.0,17.10363424705849
47,59,2,2040-02-10T22:00:00.0,17.10363424705849
48,59,2,2040-02-10T23:00:00.0,17.10363424705849
49,59,2,2040-02-11T00:00:00.0,17.10363424705849
50,59,2,2040-02-11T01:00:00.0,17.10363424705849
51,59,2,2040-02-11T02:00:00.0,17.10363424705849
52,59,2,2040-02-11T03:00:00.0,17.10363424705849
53,59,2,2040-02-11T04:00:00.0,17.10363424705849
54,59,2,2040-02-11T05:00:00.0,17.10363424705849
55,59,2,2040-02-11T06:00:00.0,17.10363424705849
56,59,2,2040-02-11T07:00:00.0,17.10363424705849
57,59,2,2040-02-11T08:00:00.0,17.10363424705849
58,59,2,2040-02-11T09:00:00.0,17.10363424705849
59,59,2,2040-02-11T10:00:00.0,17.10363424705849
60,59,2,2040-02-11T11:00:00.0,17.10363424705849
61,59,2,2040-02-11T12:00:00.0,17.10363424705849
62,59,2,2040-02-11T13:00:00.0,17.10363424705849
63,59,2,2040-02-11T14:00:00.0,17.10363424705849
64,59,2,2040-02-11T15:00:00.0,17.10363424705849
65,59,2,2040-02-11T16:00:00.0,17.10363424705849
66,59,2,2040-02-11T17:00:00.0,17.10363424705849
67,59,2,2040-02-11T18:00:00.0,17.10363424705849
68,59,2,2040-02-11T19:00:00.0,17.10363424705849
69,59,2,2040-02-11T20:00:00.0,17.10363424705849
70,59,2,2040-02-11T21:00:00.0,17.10363424705849
71,59,2,2040-02-11T22:00:00.0,17.10363424705849
72,59,2,2040-02-11T23:00:00.0,17.10363424705849
