id,id_ess,scenario,date,value
1,62,2,2040-02-09T00:00:00.0,1595.1264429599998
2,63,2,2040-02-09T00:00:00.0,1719.1637114750001
3,64,2,2040-02-09T00:00:00.0,136.16890206999997
4,65,2,2040-02-09T00:00:00.0,10549.98158435
5,66,2,2040-02-09T00:00:00.0,2717.90515625
6,67,2,2040-02-09T00:00:00.0,1531.8477720199999
7,68,2,2040-02-09T00:00:00.0,13811.9459947
8,69,2,2040-02-09T00:00:00.0,2686.1756753499994
9,70,2,2040-02-09T00:00:00.0,15268.89143975
10,71,2,2040-02-09T00:00:00.0,1039.0082998199998
11,72,2,2040-02-09T00:00:00.0,4729.78254795
12,73,2,2040-02-09T00:00:00.0,202.117591575
