id,id_ess,scenario,date,value
1,62,2,2040-02-09T00:00:00.0,551.95645956
2,63,2,2040-02-09T00:00:00.0,567.93294835
3,64,2,2040-02-09T00:00:00.0,39.95100017
4,65,2,2040-02-09T00:00:00.0,3364.6118701
5,66,2,2040-02-09T00:00:00.0,962.9994345
6,67,2,2040-02-09T00:00:00.0,495.72163642
7,68,2,2040-02-09T00:00:00.0,4411.1529482
8,69,2,2040-02-09T00:00:00.0,941.2188159
9,70,2,2040-02-09T00:00:00.0,4654.3690635
10,71,2,2040-02-09T00:00:00.0,316.86381292
11,72,2,2040-02-09T00:00:00.0,1686.7883007
12,73,2,2040-02-09T00:00:00.0,66.56595107
