id_gen,name,alias,fuel,tech,type,capacity,forate,fullout,partialout,derate,mttrfull,mttrpart,id_bus,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency,down_time,up_time,last_state,last_state_period,last_state_output,start_up_cost,shut_down_cost,start_up_time,shut_down_time
1,Bayswater,BW01,Coal,Black Coal NSW,Steam Sub Critical,678.75,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,6,250,678.75,4.0,4.0,0,1,29.073079932602745,2.537027657104,5.101165062328734,64500.0,889.2019557080466,0.3,9.448818897637794,67.875,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,8,8,0.0,0.0,0.0,78933.41201701645,0.0,0.0,0.0
2,Callide B,CALL_B_1,Coal,Black Coal QLD,Steam Sub Critical,350.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,2,155,350.0,4.0,4.0,0,1,26.392607049129825,2.3327715114788363,5.023707707338957,63480.0,942.8409057825446,0.3,9.160305343511451,35.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,8,8,0.0,0.0,0.0,36949.64986878176,0.0,0.0,0.0
3,Callide C,CPP_3,Coal,Black Coal QLD,Steam Super Critical,422.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,2,180,422.0,4.0,4.0,0,1,26.72390781411883,2.3327715114788363,5.023707707338957,63480.0,873.952738112746,0.3,9.30232558139535,42.2,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,8,8,0.0,0.0,0.0,45109.95639023259,0.0,0.0,0.0
4,Eraring,ER01,Coal,Black Coal NSW,Steam Sub Critical,720.0,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,7,210,720.0,5.0,5.0,0,1,30.34265166372797,2.643344569090976,5.101165062328734,64500.0,878.937979925076,0.3,9.549071618037134,72.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,8,8,0.0,0.0,0.0,87386.83679153655,0.0,0.0,0.0
5,Gladstone,GSTONE1,Coal,Black Coal QLD,Steam Sub Critical,280.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,3,110,280.0,5.0,5.0,0,1,31.395093303014946,2.7836462573213545,5.023707707338957,63480.0,985.8045036566772,0.3,9.473684210526315,28.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,6,1,8,8,0.0,0.0,0.0,35162.50449937674,0.0,0.0,0.0
6,Kogan Creek,KPP_1,Coal,Black Coal QLD,Steam Super Critical,744.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,330,744.0,8.0,8.0,0,1,19.272289682991477,1.6187972300116333,5.023707707338957,63480.0,861.9335194223072,0.3,8.80195599022005,74.4,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,8,8,0.0,0.0,0.0,57354.334096582636,0.0,0.0,0.0
7,Loy Yang A Power Station,LYA1,Coal,Brown Coal VIC,Steam Sub Critical,552.5,0.82760396,0.0775,0.1156,0.1791,90.05,12.2,9,300,552.5,5.0,5.0,0,1,14.019853824653358,0.7593421468618192,4.784611497955559,163640.0,1168.8606403491956,0.3,12.16216216216216,55.25,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,16,16,0.0,0.0,0.0,30983.876952483923,0.0,0.0,0.0
8,Loy Yang B,LOYYB1,Coal,Brown Coal VIC,Steam Sub Critical,580.0,0.82760396,0.0775,0.1156,0.1791,90.05,12.2,9,320,580.0,10.0,10.0,0,1,14.309460726884302,0.7593421468618192,4.784611497955559,163640.0,1111.1527514656036,0.3,12.543554006968641,58.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,16,16,0.0,0.0,0.0,33197.94888637158,0.0,0.0,0.0
9,Millmerran,MPP_1,Coal,Black Coal QLD,Steam Super Critical,426.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,200,426.0,5.0,5.0,0,1,18.581872213851952,1.4725673116796059,5.023707707338957,63480.0,825.2498618115156,0.3,9.207161125319693,42.6,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,8,8,0.0,0.0,0.0,31663.510252403725,0.0,0.0,0.0
10,Mt Piper,MP1,Coal,Black Coal NSW,Steam Sub Critical,695.0,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,6,270,695.0,3.0,3.0,0,1,29.563993979366046,2.643344569090976,5.101165062328734,64500.0,801.1644115332886,0.3,9.254498714652957,69.5,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,8,8,0.0,0.0,0.0,82187.90326263761,0.0,0.0,0.0
11,Stanwell,STAN-1,Coal,Black Coal QLD,Steam Sub Critical,365.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,2,140,365.0,4.0,4.0,0,1,27.05555610956961,2.4296232821348807,5.023707707338957,63480.0,863.4612605952427,0.3,9.06801007556675,36.5,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,8,8,0.0,0.0,0.0,39501.111919971634,0.0,0.0,0.0
12,Tarong,TARONG#1,Coal,Black Coal QLD,Steam Sub Critical,350.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,140,350.0,4.0,4.0,0,1,33.05154560163584,3.044134615741689,5.023707707338957,63480.0,886.5997945655309,0.3,9.207161125319693,35.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,4,1,8,8,0.0,0.0,0.0,46272.163842290174,0.0,0.0,0.0
13,Tarong North,TNPS1,Coal,Black Coal QLD,Steam Super Critical,450.0,0.83625576,0.0675,0.1286,0.2516,185.0,56.42,4,180,450.0,4.0,4.0,0,1,31.36718034356511,3.044134615741689,5.023707707338957,63480.0,886.5997945655309,0.3,8.653846153846153,45.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,1,1,8,8,0.0,0.0,0.0,56460.9246184172,0.0,0.0,0.0
14,Vales Point B,VP5,Coal,Black Coal NSW,Steam Sub Critical,660.0,0.6745236000000001,0.0631,0.3146,0.166,157.62,33.97,7,250,660.0,6.0,6.0,0,1,32.59055684735432,2.8405704844526447,5.101165062328734,64500.0,944.7032806579716,0.3,9.677419354838708,66.0,0.0,4.0,0,1,1,0,0.85,0.0,0.0,2,1,8,8,0.0,0.0,0.0,86039.0700770154,0.0,0.0,0.0
15,Yallourn W,YWPS1,Coal,Brown Coal,Steam Sub Critical,362.5,0.82760396,0.0775,0.1156,0.1791,90.05,12.2,9,200,362.5,3.0,3.0,0,1,15.234673536651798,0.7518239077839793,4.784611497955559,163640.0,1286.6018670776189,0.3,13.8996138996139,36.25,0.0,4.0,0,1,1,0,0.85,-38.177015,146.342783,4,1,16,16,0.0,0.0,0.0,22090.276628145108,0.0,0.0,0.0
16,Angaston,ANGAST1,Diesel,Diesel,Reciprocating Engine,36.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,7.2,36.0,9999.0,9999.0,0,1,465.97937599714805,35.43153658193376,13.34086749834906,18040.0,685.7579572019421,0.6,12.7750177430802,3.6,0.0,4.0,0,1,1,0,0.85,-34.5035,139.0245,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Lonsdale,LONSDALE,Diesel,Diesel,Reciprocating Engine,20.7,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,4.14,20.7,9999.0,9999.0,0,1,293.06352472414187,35.43153658193376,13.34086749834906,18040.0,657.9846285226301,0.6,7.894736842105263,2.07,0.0,4.0,0,1,1,0,0.85,-35.1097,138.491,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Mt Stuart,MSTUART1,Diesel,Diesel,Reciprocating Engine,141.16666666666666,0.9020784,0.0958,0.0032,0.337,150.2,189.52,1,28.23,141.16666666666666,9999.0,9999.0,0,1,433.5339871355697,35.43153658193376,12.565235667049695,18080.0,1001.6305644669512,0.6,11.881188118811883,14.116666666666667,0.0,4.0,0,1,1,0,0.85,-19.337998,146.851171,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Port Lincoln GT,POR01,Diesel,Diesel,Reciprocating Engine,36.75,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,7.35,36.75,9999.0,9999.0,0,1,466.49239472385227,35.43153658193376,12.565235667049695,18080.0,1334.5888261142497,0.6,12.81138790035587,3.6750000000000003,0.0,4.0,0,1,1,0,0.85,-34.70019,135.804728,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Port Stanvac 1,PTSTAN1,Diesel,Diesel,Reciprocating Engine,46.8,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,9.36,46.8,9999.0,9999.0,0,1,293.06352472414187,35.43153658193376,13.34086749834906,18040.0,657.9846285226301,0.6,7.894736842105263,4.68,0.0,4.0,0,1,1,0,0.85,-35.1104,138.49146,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Snapper Point Power Station,SNAPPER1,Diesel,Diesel,Reciprocating Engine,30.8,0.9020784,0.0958,0.0032,0.337,150.2,189.52,11,6.16,30.8,9999.0,9999.0,0,1,183.53552196346035,16.751700046219494,12.83177896958382,13470.0,541.6007456765004,0.6,10.190233977619531,3.08,0.0,4.0,0,1,1,0,0.85,-34.765,138.5053,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Snuggery,SNUG1,Diesel,Diesel,Reciprocating Engine,21.0,0.9020784,0.0958,0.0032,0.337,150.2,189.52,12,4.2,21.0,9999.0,9999.0,0,1,488.51124945421964,35.43153658193376,12.565235667049695,18080.0,1106.8763326226012,0.6,13.432835820895521,2.1,0.0,4.0,0,1,1,0,0.85,-37.66455,140.415558,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Barron Gorge,BARRON-1,Hydro,Run-of-River,Vertical Francis,35.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,1,7.0,35.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,3.5,0.0,2.5,0,1,1,0,0.85,-16.85086,145.6469,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Bastyan,BASTYAN,Hydro,Reservoir,Francis,79.9,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,15.98,79.9,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,7.990000000000001,0.0,2.5,0,1,1,0,0.85,-41.736,145.5321,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Blowering,BLOWERNG,Hydro,Reservoir,Francis,80.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,16.0,80.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,8.0,0.0,2.5,0,1,1,0,0.85,-35.3986,148.246272,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bogong / MacKay,MCKAY1,Hydro,Reservoir,Francis / Pelton,25.001666666666665,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,5.0,25.001666666666665,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,2.500166666666667,0.0,2.5,0,1,1,0,0.85,-36.8067,147.2287,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Catagunya / Liapootah / Wayatinah,LI_WY_CA,Hydro,Reservoir,Francis,22.0875,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,4.42,22.0875,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,2.2087499999999998,0.0,2.5,0,1,1,0,0.85,-42.4522,146.5977,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cethana,CETHANA,Hydro,Reservoir,Francis,85.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,17.0,85.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,8.5,0.0,2.5,0,1,1,0,0.85,-41.481,146.1338,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Dartmouth,DARTM1,Hydro,Reservoir,Francis,23.125,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,4.62,23.125,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,2.3125,0.0,2.5,0,1,1,0,0.85,-36.558,147.5236,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Devils gate,DEVILS_G,Hydro,Reservoir,Francis,60.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,12.0,60.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,6.0,0.0,2.5,0,1,1,0,0.85,-41.3505,146.2633,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Eildon,EILDON1,Hydro,Reservoir,Francis,67.5,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,13.5,67.5,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,6.75,0.0,2.5,0,1,1,0,0.85,-37.22186,145.92137,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Fisher,FISHER,Hydro,Reservoir,Pelton,43.2,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,8.64,43.2,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,4.32,0.0,2.5,0,1,1,0,0.85,-41.6732,146.2686,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Gordon,GORDON,Hydro,Reservoir,Francis,144.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,28.8,144.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,14.4,0.0,2.5,0,1,1,0,0.85,-42.7405,145.9819,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Guthega,GUTHEGA,Hydro,Reservoir,Francis,30.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,6.0,30.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,3.0,0.0,2.5,0,1,1,0,0.85,-36.35,148.41353,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Hume Dam NSW,HUMENSW,Hydro,Reservoir,Kaplan,29.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,8,5.8,29.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,2.9000000000000004,0.0,2.5,0,1,1,0,0.85,-36.1067,147.0327,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Hume Dam VIC,HUMEV,Hydro,Reservoir,Kaplan,29.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,9,5.8,29.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,2.9000000000000004,0.0,2.5,0,1,1,0,0.85,-36.1067,147.0327,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,John Butters,JBUTTERS,Hydro,Reservoir,Francis,144.0,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,28.8,144.0,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,14.4,0.0,2.5,0,1,1,0,0.85,-42.1548,145.5344,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Kareeya,KAREEYA1,Hydro,Run-of-River,Pelton,21.6,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,1,4.32,21.6,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,2.16,0.0,2.5,0,1,1,0,0.85,-17.76716,145.5777,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Lake Echo,LK_ECHO,Hydro,Reservoir,Francis,32.4,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,6.48,32.4,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,3.24,0.0,2.5,0,1,1,0,0.85,-42.2536,146.6206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Lemonthyme / Wilmot,LEM_WIL,Hydro,Reservoir,Francis,40.8,0.93439578,0.0511,0.0171,0.1518,38.1,473.44,10,8.16,40.8,9999.0,9999.0,0,1,8.579681333911427,0.0,8.579681333911427,69510.0,0.0,0.6,0.0,4.08,0.0,2.5,0,1,1,0,0.85,-41.6038,146.139,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
